no	plot	block	watering	brickType	seedmix	seetDensity	brickRatio	acid	grassMass	forbMass	specPres	specAbs	estRate	conf.low	conf.high	biomass	grassRatio	f.watering
35	B15	B	0.5	Clean	Vigorous	4	5	Acid	2.9	10.5	10	10	0.5	35	35	13.4	0.22	Dry
36	B16	B	0.5	Clean	Vigorous	4	5	Control	8.8	5.4	11	9	0.55	36	36	14.2	0.62	Dry
37	Be1	B	0.5	Demolition	Robust	4	30	Acid	3.9	3.3	12	8	0.6	37	37	7.2	0.54	Dry
38	Be2	B	0.5	Demolition	Robust	4	5	Acid	4.1	3.9	11	9	0.55	38	38	8	0.51	Dry
39	Be3	B	0.5	Demolition	Vigorous	4	30	Acid	0.9	6.6	9	11	0.45	39	39	7.5	0.12	Dry
40	Be4	B	0.5	Demolition	Vigorous	4	5	Acid	10.6	2.0	8	12	0.4	40	40	12.6	0.84	Dry
41	C01	C	3	Clean	Standard	20	30	Acid	34.1	6.8	12	4	0.75	41	41	40.9	0.83	Moist
42	C02	C	3	Clean	Standard	20	30	Control	17	3.6	10	6	0.625	42	42	20.6	0.83	Moist
43	C03	C	3	Clean	Standard	20	5	Acid	21.4	1.8	12	4	0.75	43	43	23.2	0.92	Moist
44	C04	C	3	Clean	Standard	20	5	Control	19.7	5.6	12	4	0.75	44	44	25.3	0.78	Moist
45	C05	C	3	Clean	Robust	4	30	Acid	2.6	12.5	12	8	0.6	45	45	15.1	0.17	Moist
46	C06	C	3	Clean	Robust	4	30	Control	1.5	16.0	10	10	0.5	46	46	17.5	0.09	Moist
47	C07	C	3	Clean	Robust	4	5	Acid	3.9	18.5	11	9	0.55	47	47	22.4	0.17	Moist
48	C08	C	3	Clean	Robust	4	5	Control	7	10.3	11	9	0.55	48	48	17.3	0.40	Moist
49	C09	C	3	Clean	Intermediate	4	30	Acid	9	12.5	9	11	0.45	49	49	21.5	0.42	Moist
50	C10	C	3	Clean	Intermediate	4	30	Control	9.1	12.0	10	10	0.5	50	50	21.1	0.43	Moist
51	C11	C	3	Clean	Intermediate	4	5	Acid	7.7	11.8	11	9	0.55	51	51	19.5	0.39	Moist
52	C12	C	3	Clean	Intermediate	4	5	Control	7.1	8.2	9	11	0.45	52	52	15.3	0.46	Moist
53	C13	C	3	Clean	Vigorous	4	30	Acid	8.4	10.8	9	11	0.45	53	53	19.2	0.44	Moist
54	C14	C	3	Clean	Vigorous	4	30	Control	13.1	4.9	9	11	0.45	54	54	18	0.73	Moist
55	C15	C	3	Clean	Vigorous	4	5	Acid	4.4	17.1	8	12	0.4	55	55	21.5	0.20	Moist
56	C16	C	3	Clean	Vigorous	4	5	Control	5.1	7.5	9	11	0.45	56	56	12.6	0.40	Moist
57	Ce1	C	3	Demolition	Robust	4	30	Acid	13.5	6.8	11	9	0.55	57	57	20.3	0.67	Moist
58	Ce2	C	3	Demolition	Robust	4	5	Acid	3.9	21.0	11	9	0.55	58	58	24.9	0.16	Moist
59	Ce3	C	3	Demolition	Vigorous	4	30	Acid	8.5	8.4	8	12	0.4	59	59	16.9	0.50	Moist
60	Ce4	C	3	Demolition	Vigorous	4	5	Acid	13.7	3.2	12	8	0.6	60	60	16.9	0.81	Moist
61	D01	D	3	Clean	Standard	20	30	Acid	19.4	8.0	13	3	0.8125	61	61	27.4	0.71	Moist
62	D02	D	3	Clean	Standard	20	30	Control	13.1	3.4	12	4	0.75	62	62	16.5	0.79	Moist
63	D03	D	3	Clean	Standard	20	5	Acid	15.2	3.5	11	5	0.6875	63	63	18.7	0.81	Moist
64	D04	D	3	Clean	Standard	20	5	Control	13.8	2.3	11	5	0.6875	64	64	16.1	0.86	Moist
